,Vocab,Syllables
0,term,1.0
1,slightly,2.0
2,tuesday,2.0
3,strategic,3.0
4,stupid,2.0
5,beggar's,2.0
6,simmer,2.0
7,luscious,2.0
8,Just,1.0
9,cupboard,2.0
10,oil,1.0
11,fireman's,2.0
12,own,1.0
13,shell,1.0
14,bat,1.0
15,north,1.0
16,spring,1.0
17,tonight's,
18,mallards,2.0
19,hymnal,2.0
20,cypress,2.0
21,worker,2.0
22,october,3.0
23,radiator,4.0
24,reduced,2.0
25,turtle,2.0
26,saving,2.0
27,magic,2.0
28,addresses,3.0
29,tanker,2.0
30,observe,2.0
31,shedding,2.0
32,lights,1.0
33,retracts,2.0
34,landscape,2.0
35,dipped,1.0
36,around,2.0
37,moon's,1.0
38,metal,2.0
39,hoarse,1.0
40,burst,1.0
41,stonehenge,2.0
42,icicles,3.0
43,algae,2.0
44,fading,2.0
45,afternoon,3.0
46,cackle,2.0
47,accountancy,4.0
48,sang,1.0
49,mid,1.0
50,blackened,2.0
51,obits,2.0
52,piles,1.0
53,planning,2.0
54,postures,2.0
55,manner,2.0
56,moon,1.0
57,flowing,2.0
58,clicks,1.0
59,Chechnya,2.0
60,nightclub,2.0
61,approaching,3.0
62,homework,2.0
63,gift,1.0
64,spreads,1.0
65,backdoor,2.0
66,unreturned,3.0
67,sonogram,3.0
68,extending,3.0
69,night's,1.0
70,hand,1.0
71,dim,1.0
72,Talking,2.0
73,sneak,1.0
74,Caruso,3.0
75,louder,2.0
76,fed,1.0
77,florist,2.0
78,hedges,2.0
79,late,1.0
80,rather,2.0
81,York,1.0
82,cats,1.0
83,basil,2.0
84,faint,1.0
85,rituals,3.0
86,smile,1.0
87,atlas,2.0
88,quite,1.0
89,hard,1.0
90,hush,1.0
91,patches,2.0
92,piece,1.0
93,outburst,2.0
94,Luther,2.0
95,bear,1.0
96,express,2.0
97,postpone,2.0
98,rusted,2.0
99,wire,1.0
100,keep,1.0
101,thrives,1.0
102,sheep,1.0
103,grows,1.0
104,Mother,2.0
105,over,2.0
106,Ancient,2.0
107,compartment,3.0
108,dyed,1.0
109,lost,1.0
110,splashes,2.0
111,tilts,1.0
112,confluence,3.0
113,pierce,1.0
114,weep,1.0
115,soda,2.0
116,party,2.0
117,fertilizer,4.0
118,rots,1.0
119,hospice,2.0
120,recycling,3.0
121,grand,1.0
122,bowls,1.0
123,by,1.0
124,dentures,2.0
125,scents,1.0
126,patients,2.0
127,clearance,2.0
128,takes,1.0
129,lifts,1.0
130,cops,1.0
131,spinnakers,3.0
132,screech,1.0
133,galloping,3.0
134,departing,3.0
135,pronounce,2.0
136,cycle,2.0
137,cheese,1.0
138,daughter,2.0
139,occupy,3.0
140,hum,1.0
141,Gare,1.0
142,leftover,3.0
143,stray,1.0
144,saturday,3.0
145,round,1.0
146,silos,2.0
147,rips,1.0
148,toy,1.0
149,portage,2.0
150,remnants,2.0
151,maize,1.0
152,awful,2.0
153,quarry,2.0
154,Satie,2.0
155,wasps,1.0
156,shadows,2.0
157,darkest,2.0
158,moonlight,2.0
159,cooler,2.0
160,i,1.0
161,spring,1.0
162,driving,2.0
163,sous,1.0
164,branches,2.0
165,speaks,1.0
166,hazy,2.0
167,radiation,4.0
168,salutes,2.0
169,weighing,2.0
170,thing,1.0
171,motel,2.0
172,try,1.0
173,work,1.0
174,memoriam,4.0
175,striplights,2.0
176,Before,2.0
177,One,1.0
178,unison,3.0
179,lazy,2.0
180,poor,1.0
181,pears,1.0
182,pavements,2.0
183,twists,1.0
184,shortest,2.0
185,hat,1.0
186,zazen,2.0
187,scramble,2.0
188,rusts,1.0
189,Cloudy,2.0
190,water's,2.0
191,brighter,2.0
192,dissolve,2.0
193,stand,1.0
194,masked,1.0
195,bed,1.0
196,pick,1.0
197,mapping,2.0
198,Park,1.0
199,vacation,3.0
200,hustles,2.0
201,tenuous,3.0
202,barbeque,3.0
203,each,1.0
204,stirred,1.0
205,brackets,2.0
206,fragile,2.0
207,done,1.0
208,tea,1.0
209,stormy,2.0
210,eucalyptus,4.0
211,tanning,2.0
212,pressing,2.0
213,rosary,3.0
214,programme,2.0
215,autumn,2.0
216,audience,3.0
217,squinting,2.0
218,stillborn,2.0
219,thousands,2.0
220,casing,2.0
221,varnish,2.0
222,heartbeat,2.0
223,preserves,2.0
224,greeting,2.0
225,freshen,2.0
226,lines,1.0
227,dispute,2.0
228,Guantanamo,5.0
229,fisherman,3.0
230,advent,2.0
231,March,1.0
232,seventy,3.0
233,morning,2.0
234,incoming,3.0
235,snowfall,2.0
236,machine,2.0
237,commercials,3.0
238,wheezes,2.0
239,college,2.0
240,saying,2.0
241,keys,1.0
242,soccer,2.0
243,geese,1.0
244,waits,1.0
245,jumper,2.0
246,pig's,1.0
247,Miami,3.0
248,donkey,2.0
249,Snow,1.0
250,swapped,1.0
251,that's,1.0
252,rain,1.0
253,tighten,2.0
254,nestling,2.0
255,nylon,2.0
256,freezing,2.0
257,Batman,2.0
258,village,2.0
259,foghorns,2.0
260,foothills,2.0
261,hatchlings,2.0
262,estuary,4.0
263,flags,1.0
264,vintage,2.0
265,start,1.0
